El x y z
Si 3.08 0.0 -3.14290742 
Si 3.08 0.0 1.89209258 
C 3.08 0.0 -5.0303678 
C 3.08 0.0 0.004632199999999043 
Si 3.08 -1.778238829104048 -0.6259310600000016 
Si 3.08 1.778238829104048 4.409068939999998 
C 3.08 -1.778238829104048 -2.519483789999999 
C 3.08 1.778238829104048 2.51551621 
Si -3.08 0.0 -3.14290742 
Si -3.08 0.0 1.89209258 
C -3.08 0.0 -5.0303678 
C -3.08 0.0 0.004632199999999043 
Si -3.08 -1.778238829104048 -0.6259310600000016 
Si -3.08 1.778238829104048 4.409068939999998 
C -3.08 -1.778238829104048 -2.519483789999999 
C -3.08 1.778238829104048 2.51551621 
Si -1.54 2.667358243656071 -3.14290742 
Si -1.54 2.667358243656071 1.89209258 
C -1.54 2.667358243656071 -5.0303678 
C -1.54 2.667358243656071 0.004632199999999043 
Si -1.54 0.8891194145520229 -0.6259310600000016 
Si -1.54 4.445597072760119 4.409068939999998 
C -1.54 0.8891194145520229 -2.519483789999999 
C -1.54 4.445597072760119 2.51551621 
Si 0.0 5.334716487312142 -3.14290742 
Si 0.0 5.334716487312142 1.89209258 
C 0.0 5.334716487312142 -5.0303678 
C 0.0 5.334716487312142 0.004632199999999043 
Si 0.0 3.556477658208094 -0.6259310600000016 
Si 0.0 7.11295531641619 4.409068939999998 
C 0.0 3.556477658208094 -2.519483789999999 
C 0.0 7.11295531641619 2.51551621 
Si -1.54 -2.667358243656071 -3.14290742 
Si -1.54 -2.667358243656071 1.89209258 
C -1.54 -2.667358243656071 -5.0303678 
C -1.54 -2.667358243656071 0.004632199999999043 
Si -1.54 -4.445597072760119 -0.6259310600000016 
Si -1.54 -0.8891194145520229 4.409068939999998 
C -1.54 -4.445597072760119 -2.519483789999999 
C -1.54 -0.8891194145520229 2.51551621 
Si 0.0 0.0 -3.14290742 
Si 0.0 0.0 1.89209258 
C 0.0 0.0 -5.0303678 
Cr 7.520060461274623e-15 -1.880015115318656e-15 0.004632199999987762 
Si 0.0 -1.778238829104048 -0.6259310600000016 
Si 0.0 1.778238829104048 4.409068939999998 
C 0.0 -1.778238829104048 -2.519483789999999 
C 0.0 1.778238829104048 2.51551621 
Si 1.54 2.667358243656071 -3.14290742 
Si 1.54 2.667358243656071 1.89209258 
C 1.54 2.667358243656071 -5.0303678 
C 1.54 2.667358243656071 0.004632199999999043 
Si 1.54 0.8891194145520229 -0.6259310600000016 
Si 1.54 4.445597072760119 4.409068939999998 
C 1.54 0.8891194145520229 -2.519483789999999 
C 1.54 4.445597072760119 2.51551621 
Si 0.0 -5.334716487312142 -3.14290742 
Si 0.0 -5.334716487312142 1.89209258 
C 0.0 -5.334716487312142 -5.0303678 
C 0.0 -5.334716487312142 0.004632199999999043 
Si 0.0 -7.11295531641619 -0.6259310600000016 
Si 0.0 -3.556477658208094 4.409068939999998 
C 0.0 -7.11295531641619 -2.519483789999999 
C 0.0 -3.556477658208094 2.51551621 
Si 1.54 -2.667358243656071 -3.14290742 
Si 1.54 -2.667358243656071 1.89209258 
C 1.54 -2.667358243656071 -5.0303678 
C 1.54 -2.667358243656071 0.004632199999999043 
Si 1.54 -4.445597072760119 -0.6259310600000016 
Si 1.54 -0.8891194145520229 4.409068939999998 
C 1.54 -4.445597072760119 -2.519483789999999 
C 1.54 -0.8891194145520229 2.51551621 
