    A       	B
    0.0000   -5.9444
    0.0101   -5.9431
    0.0203   -5.9391
    0.0304   -5.9323
    0.0405   -5.9229
    0.0506   -5.9108
    0.0608   -5.8960
    0.0709   -5.8786
    0.0810   -5.8584
    0.0912   -5.8356
    0.1013   -5.8102
    0.1114   -5.7820
    0.1215   -5.7512
    0.1317   -5.7178
    0.1418   -5.6817
    0.1519   -5.6430
    0.1621   -5.6017
    0.1722   -5.5578
    0.1823   -5.5113
    0.1925   -5.4622
    0.2026   -5.4105
    0.2127   -5.3563
    0.2228   -5.2996
    0.2330   -5.2403
    0.2431   -5.1786
    0.2532   -5.1144
    0.2634   -5.0477
    0.2735   -4.9786
    0.2836   -4.9072
    0.2937   -4.8333
    0.3039   -4.7572
    0.3140   -4.6788
    0.3241   -4.5981
    0.3343   -4.5153
    0.3444   -4.4303
    0.3545   -4.3432
    0.3646   -4.2541
    0.3748   -4.1632
    0.3849   -4.0703
    0.3950   -3.9757
    0.4052   -3.8795
    0.4153   -3.7818
    0.4254   -3.6828
    0.4355   -3.5826
    0.4457   -3.4814
    0.4558   -3.3796
    0.4659   -3.2773
    0.4761   -3.1750
    0.4862   -3.0732
    0.4963   -2.9724
    0.5064   -2.8734
    0.5166   -2.7771
    0.5267   -2.6849
    0.5368   -2.5987
    0.5470   -2.5211
    0.5571   -2.4562
    0.5672   -2.4105
    0.5774   -2.3935
    0.5875   -2.3923
    0.5976   -2.3888
    0.6077   -2.3830
    0.6178   -2.3748
    0.6279   -2.3644
    0.6380   -2.3516
    0.6481   -2.3366
    0.6582   -2.3192
    0.6683   -2.2996
    0.6784   -2.2778
    0.6885   -2.2537
    0.6986   -2.2273
    0.7087   -2.1988
    0.7188   -2.1682
    0.7289   -2.1354
    0.7390   -2.1005
    0.7491   -2.0635
    0.7592   -2.0245
    0.7693   -1.9836
    0.7794   -1.9408
    0.7895   -1.8961
    0.7996   -1.8496
    0.8097   -1.8014
    0.8198   -1.7517
    0.8299   -1.7005
    0.8400   -1.6480
    0.8501   -1.5943
    0.8602   -1.5397
    0.8703   -1.4847
    0.8804   -1.4298
    0.8905   -1.3763
    0.9006   -1.3271
    0.9107   -1.2901
    0.9209   -1.2901
    0.9311   -1.2901
    0.9412   -1.2900
    0.9514   -1.2900
    0.9616   -1.2899
    0.9718   -1.2898
    0.9820   -1.2898
    0.9922   -1.2897
    1.0024   -1.2897
    1.0126   -1.2896
    1.0227   -1.3092
    1.0328   -1.3507
    1.0429   -1.3997
    1.0530   -1.4511
    1.0631   -1.5033
    1.0732   -1.5554
    1.0833   -1.6070
    1.0934   -1.6576
    1.1035   -1.7072
    1.1136   -1.7555
    1.1237   -1.8024
    1.1338   -1.8477
    1.1439   -1.8913
    1.1540   -1.9333
    1.1641   -1.9734
    1.1742   -2.0116
    1.1843   -2.0479
    1.1944   -2.0823
    1.2045   -2.1145
    1.2146   -2.1447
    1.2247   -2.1728
    1.2348   -2.1988
    1.2449   -2.2225
    1.2550   -2.2441
    1.2651   -2.2635
    1.2752   -2.2806
    1.2853   -2.2955
    1.2954   -2.3081
    1.3055   -2.3184
    1.3156   -2.3265
    1.3257   -2.3322
    1.3358   -2.3357
    1.3459   -2.3368
    1.3560   -2.3493
    1.3662   -2.3849
    1.3763   -2.4395
    1.3864   -2.5084
    1.3965   -2.5876
    1.4067   -2.6743
    1.4168   -2.7662
    1.4269   -2.8616
    1.4371   -2.9595
    1.4472   -3.0589
    1.4573   -3.1590
    1.4674   -3.2595
    1.4776   -3.3598
    1.4877   -3.4596
    1.4978   -3.5587
    1.5080   -3.6567
    1.5181   -3.7534
    1.5282   -3.8488
    1.5384   -3.9426
    1.5485   -4.0347
    1.5586   -4.1251
    1.5687   -4.2136
    1.5789   -4.3001
    1.5890   -4.3846
    1.5991   -4.4671
    1.6093   -4.5473
    1.6194   -4.6254
    1.6295   -4.7011
    1.6396   -4.7746
    1.6498   -4.8458
    1.6599   -4.9146
    1.6700   -4.9810
    1.6802   -5.0450
    1.6903   -5.1065
    1.7004   -5.1655
    1.7105   -5.2221
    1.7207   -5.2761
    1.7308   -5.3276
    1.7409   -5.3765
    1.7511   -5.4229
    1.7612   -5.4667
    1.7713   -5.5078
    1.7814   -5.5464
    1.7916   -5.5824
    1.8017   -5.6157
    1.8118   -5.6464
    1.8220   -5.6745
    1.8321   -5.6999
    1.8422   -5.7226
    1.8523   -5.7427
    1.8625   -5.7601
    1.8726   -5.7748
    1.8827   -5.7869
    1.8929   -5.7963
    1.9030   -5.8030
    1.9131   -5.8070
    1.9233   -5.8084
    1.9334   -5.8342
    1.9436   -5.8573
    1.9538   -5.8777
    1.9640   -5.8954
    1.9742   -5.9104
    1.9844   -5.9226
    1.9946   -5.9322
    2.0048   -5.9390
    2.0150   -5.9431
    2.0251   -5.9444

    0.0000   -5.4272
    0.0101   -5.4259
    0.0203   -5.4219
    0.0304   -5.4153
    0.0405   -5.4060
    0.0506   -5.3941
    0.0608   -5.3795
    0.0709   -5.3622
    0.0810   -5.3424
    0.0912   -5.3199
    0.1013   -5.2947
    0.1114   -5.2670
    0.1215   -5.2366
    0.1317   -5.2037
    0.1418   -5.1681
    0.1519   -5.1300
    0.1621   -5.0893
    0.1722   -5.0460
    0.1823   -5.0002
    0.1925   -4.9519
    0.2026   -4.9010
    0.2127   -4.8477
    0.2228   -4.7919
    0.2330   -4.7337
    0.2431   -4.6730
    0.2532   -4.6100
    0.2634   -4.5446
    0.2735   -4.4769
    0.2836   -4.4069
    0.2937   -4.3346
    0.3039   -4.2602
    0.3140   -4.1836
    0.3241   -4.1049
    0.3343   -4.0242
    0.3444   -3.9416
    0.3545   -3.8571
    0.3646   -3.7709
    0.3748   -3.6830
    0.3849   -3.5936
    0.3950   -3.5028
    0.4052   -3.4108
    0.4153   -3.3178
    0.4254   -3.2241
    0.4355   -3.1299
    0.4457   -3.0357
    0.4558   -2.9418
    0.4659   -2.8489
    0.4761   -2.7575
    0.4862   -2.6686
    0.4963   -2.5832
    0.5064   -2.5029
    0.5166   -2.4294
    0.5267   -2.3649
    0.5368   -2.3120
    0.5470   -2.2733
    0.5571   -2.2500
    0.5672   -2.2405
    0.5774   -2.2388
    0.5875   -2.2377
    0.5976   -2.2343
    0.6077   -2.2287
    0.6178   -2.2209
    0.6279   -2.2108
    0.6380   -2.1985
    0.6481   -2.1840
    0.6582   -2.1673
    0.6683   -2.1484
    0.6784   -2.1274
    0.6885   -2.1043
    0.6986   -2.0792
    0.7087   -2.0519
    0.7188   -2.0227
    0.7289   -1.9916
    0.7390   -1.9585
    0.7491   -1.9236
    0.7592   -1.8870
    0.7693   -1.8487
    0.7794   -1.8088
    0.7895   -1.7674
    0.7996   -1.7247
    0.8097   -1.6808
    0.8198   -1.6358
    0.8299   -1.5900
    0.8400   -1.5437
    0.8501   -1.4970
    0.8602   -1.4504
    0.8703   -1.4045
    0.8804   -1.3602
    0.8905   -1.3197
    0.9006   -1.2893
    0.9107   -1.2901
    0.9209   -1.2901
    0.9311   -1.2901
    0.9412   -1.2900
    0.9514   -1.2899
    0.9616   -1.2899
    0.9718   -1.2898
    0.9820   -1.2897
    0.9922   -1.2897
    1.0024   -1.2897
    1.0126   -1.2896
    1.0227   -1.3092
    1.0328   -1.3507
    1.0429   -1.3997
    1.0530   -1.4511
    1.0631   -1.5033
    1.0732   -1.5554
    1.0833   -1.6070
    1.0934   -1.6576
    1.1035   -1.7072
    1.1136   -1.7555
    1.1237   -1.8024
    1.1338   -1.8477
    1.1439   -1.8913
    1.1540   -1.9333
    1.1641   -1.9734
    1.1742   -2.0116
    1.1843   -2.0479
    1.1944   -2.0823
    1.2045   -2.1145
    1.2146   -2.1447
    1.2247   -2.1728
    1.2348   -2.1988
    1.2449   -2.2225
    1.2550   -2.2441
    1.2651   -2.2635
    1.2752   -2.2806
    1.2853   -2.2955
    1.2954   -2.3081
    1.3055   -2.3184
    1.3156   -2.3265
    1.3257   -2.3322
    1.3358   -2.3357
    1.3459   -2.3368
    1.3560   -2.3493
    1.3662   -2.3849
    1.3763   -2.4395
    1.3864   -2.5084
    1.3965   -2.5876
    1.4067   -2.6743
    1.4168   -2.7662
    1.4269   -2.8616
    1.4371   -2.9595
    1.4472   -3.0589
    1.4573   -3.1590
    1.4674   -3.2595
    1.4776   -3.3598
    1.4877   -3.4596
    1.4978   -3.5587
    1.5080   -3.6567
    1.5181   -3.7534
    1.5282   -3.8488
    1.5384   -3.9426
    1.5485   -4.0347
    1.5586   -4.1251
    1.5687   -4.2136
    1.5789   -4.3001
    1.5890   -4.3846
    1.5991   -4.4671
    1.6093   -4.5473
    1.6194   -4.6254
    1.6295   -4.7011
    1.6396   -4.7746
    1.6498   -4.8458
    1.6599   -4.9146
    1.6700   -4.9810
    1.6802   -5.0450
    1.6903   -5.1065
    1.7004   -5.1655
    1.7105   -5.2221
    1.7207   -5.2761
    1.7308   -5.3276
    1.7409   -5.3765
    1.7511   -5.4229
    1.7612   -5.4667
    1.7713   -5.5078
    1.7814   -5.5464
    1.7916   -5.5824
    1.8017   -5.6157
    1.8118   -5.6464
    1.8220   -5.6745
    1.8321   -5.6999
    1.8422   -5.7226
    1.8523   -5.7427
    1.8625   -5.7601
    1.8726   -5.7748
    1.8827   -5.7869
    1.8929   -5.7963
    1.9030   -5.8030
    1.9131   -5.8070
    1.9233   -5.8084
    1.9334   -5.7799
    1.9436   -5.7487
    1.9538   -5.7149
    1.9640   -5.6784
    1.9742   -5.6394
    1.9844   -5.5977
    1.9946   -5.5537
    2.0048   -5.5074
    2.0150   -5.4603
    2.0251   -5.4272

    0.0000   -5.3776
    0.0101   -5.3763
    0.0203   -5.3723
    0.0304   -5.3656
    0.0405   -5.3563
    0.0506   -5.3443
    0.0608   -5.3297
    0.0709   -5.3124
    0.0810   -5.2925
    0.0912   -5.2699
