El x y z
C 3.08 0.0 1.89209258 
C 3.08 0.0 6.92709258 
Si 3.08 0.0 0.00463220000000053 
Si 3.08 0.0 5.039632199999999 
C 3.08 -1.778238829104048 4.409068939999998 
C 3.08 1.778238829104048 9.444068939999998 
Si 3.08 -1.778238829104048 2.515516210000001 
Si 3.08 1.778238829104048 7.55051621 
C -3.08 0.0 -8.17790742 
C -3.08 0.0 -3.14290742 
Si -3.08 0.0 -10.0653678 
Si -3.08 0.0 -5.030367800000001 
C -3.08 -1.778238829104048 -5.660931060000002 
C -3.08 1.778238829104048 -0.6259310600000019 
Si -3.08 -1.778238829104048 -7.554483789999999 
Si -3.08 1.778238829104048 -2.51948379 
C -3.08 0.0 1.89209258 
C -3.08 0.0 6.92709258 
Si -3.08 0.0 0.00463220000000053 
Si -3.08 0.0 5.039632199999999 
C -3.08 -1.778238829104048 4.409068939999998 
C -3.08 1.778238829104048 9.444068939999998 
Si -3.08 -1.778238829104048 2.515516210000001 
Si -3.08 1.778238829104048 7.55051621 
C -1.54 2.667358243656071 -8.17790742 
C -1.54 2.667358243656071 -3.14290742 
Si -1.54 2.667358243656071 -10.0653678 
Si -1.54 2.667358243656071 -5.030367800000001 
C -1.54 0.8891194145520229 -5.660931060000002 
C -1.54 4.445597072760119 -0.6259310600000019 
Si -1.54 0.8891194145520229 -7.554483789999999 
Si -1.54 4.445597072760119 -2.51948379 
C -1.54 2.667358243656071 1.89209258 
C -1.54 2.667358243656071 6.92709258 
Si -1.54 2.667358243656071 0.00463220000000053 
Si -1.54 2.667358243656071 5.039632199999999 
C -1.54 0.8891194145520229 4.409068939999998 
C -1.54 4.445597072760119 9.444068939999998 
Si -1.54 0.8891194145520229 2.515516210000001 
Si -1.54 4.445597072760119 7.55051621 
C 0.0 5.334716487312142 -8.17790742 
C 0.0 5.334716487312142 -3.14290742 
Si 0.0 5.334716487312142 -10.0653678 
Si 0.0 5.334716487312142 -5.030367800000001 
C 0.0 3.556477658208094 -5.660931060000002 
C 0.0 7.11295531641619 -0.6259310600000019 
Si 0.0 3.556477658208094 -7.554483789999999 
Si 0.0 7.11295531641619 -2.51948379 
C 0.0 5.334716487312142 1.89209258 
C 0.0 5.334716487312142 6.92709258 
Si 0.0 5.334716487312142 0.00463220000000053 
Si 0.0 5.334716487312142 5.039632199999999 
C 0.0 3.556477658208094 4.409068939999998 
C 0.0 7.11295531641619 9.444068939999998 
Si 0.0 3.556477658208094 2.515516210000001 
Si 0.0 7.11295531641619 7.55051621 
C -1.54 -2.667358243656071 -8.17790742 
C -1.54 -2.667358243656071 -3.14290742 
Si -1.54 -2.667358243656071 -10.0653678 
Si -1.54 -2.667358243656071 -5.030367800000001 
C -1.54 -4.445597072760119 -5.660931060000002 
C -1.54 -0.8891194145520229 -0.6259310600000019 
Si -1.54 -4.445597072760119 -7.554483789999999 
Si -1.54 -0.8891194145520229 -2.51948379 
C -1.54 -2.667358243656071 1.89209258 
C -1.54 -2.667358243656071 6.92709258 
Si -1.54 -2.667358243656071 0.00463220000000053 
Si -1.54 -2.667358243656071 5.039632199999999 
C -1.54 -4.445597072760119 4.409068939999998 
C -1.54 -0.8891194145520229 9.444068939999998 
Si -1.54 -4.445597072760119 2.515516210000001 
Si -1.54 -0.8891194145520229 7.55051621 
C 0.0 0.0 -8.17790742 
C 0.0 0.0 -3.14290742 
Si 0.0 0.0 -10.0653678 
Si 0.0 0.0 -5.030367800000001 
C 0.0 -1.778238829104048 -5.660931060000002 
C 0.0 1.778238829104048 -0.6259310600000019 
Si 0.0 -1.778238829104048 -7.554483789999999 
Si 0.0 1.778238829104048 -2.51948379 
C 0.0 0.0 1.89209258 
C 0.0 0.0 6.92709258 
Cr 3.760030230637312e-15 -3.760030230637312e-15 0.00463219999999865 
Si 0.0 0.0 5.039632199999999 
C 0.0 -1.778238829104048 4.409068939999998 
C 0.0 1.778238829104048 9.444068939999998 
Si 0.0 -1.778238829104048 2.515516210000001 
Si 0.0 1.778238829104048 7.55051621 
C 1.54 2.667358243656071 -8.17790742 
C 1.54 2.667358243656071 -3.14290742 
Si 1.54 2.667358243656071 -10.0653678 
Si 1.54 2.667358243656071 -5.030367800000001 
C 1.54 0.8891194145520229 -5.660931060000002 
C 1.54 4.445597072760119 -0.6259310600000019 
Si 1.54 0.8891194145520229 -7.554483789999999 
Si 1.54 4.445597072760119 -2.51948379 
C 1.54 2.667358243656071 1.89209258 
C 1.54 2.667358243656071 6.92709258 
Si 1.54 2.667358243656071 0.00463220000000053 
Si 1.54 2.667358243656071 5.039632199999999 
C 1.54 0.8891194145520229 4.409068939999998 
C 1.54 4.445597072760119 9.444068939999998 
Si 1.54 0.8891194145520229 2.515516210000001 
Si 1.54 4.445597072760119 7.55051621 
C 0.0 -5.334716487312142 -8.17790742 
C 0.0 -5.334716487312142 -3.14290742 
Si 0.0 -5.334716487312142 -10.0653678 
Si 0.0 -5.334716487312142 -5.030367800000001 
C 0.0 -7.11295531641619 -5.660931060000002 
C 0.0 -3.556477658208094 -0.6259310600000019 
Si 0.0 -7.11295531641619 -7.554483789999999 
Si 0.0 -3.556477658208094 -2.51948379 
C 0.0 -5.334716487312142 1.89209258 
C 0.0 -5.334716487312142 6.92709258 
Si 0.0 -5.334716487312142 0.00463220000000053 
Si 0.0 -5.334716487312142 5.039632199999999 
C 0.0 -7.11295531641619 4.409068939999998 
C 0.0 -3.556477658208094 9.444068939999998 
Si 0.0 -7.11295531641619 2.515516210000001 
Si 0.0 -3.556477658208094 7.55051621 
C 1.54 -2.667358243656071 -8.17790742 
C 1.54 -2.667358243656071 -3.14290742 
Si 1.54 -2.667358243656071 -10.0653678 
Si 1.54 -2.667358243656071 -5.030367800000001 
C 1.54 -4.445597072760119 -5.660931060000002 
C 1.54 -0.8891194145520229 -0.6259310600000019 
Si 1.54 -4.445597072760119 -7.554483789999999 
Si 1.54 -0.8891194145520229 -2.51948379 
C 1.54 -2.667358243656071 1.89209258 
C 1.54 -2.667358243656071 6.92709258 
Si 1.54 -2.667358243656071 0.00463220000000053 
Si 1.54 -2.667358243656071 5.039632199999999 
C 1.54 -4.445597072760119 4.409068939999998 
C 1.54 -0.8891194145520229 9.444068939999998 
Si 1.54 -4.445597072760119 2.515516210000001 
Si 1.54 -0.8891194145520229 7.55051621 
C 3.08 0.0 -8.17790742 
C 3.08 0.0 -3.14290742 
Si 3.08 0.0 -10.0653678 
Si 3.08 0.0 -5.030367800000001 
C 3.08 -1.778238829104048 -5.660931060000002 
C 3.08 1.778238829104048 -0.6259310600000019 
Si 3.08 -1.778238829104048 -7.554483789999999 
Si 3.08 1.778238829104048 -2.51948379 
